City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,fairbanks,64.84,-147.72,-4.0,73,90,0.81,US,1584253470
339,haines junction,60.75,-137.51,-9.08,76,0,1.91,CA,1584253470
340,raudeberg,61.99,5.14,5.56,93,100,8.7,NO,1584253470
341,zhigansk,66.77,123.37,-18.71,94,100,11.01,RU,1584253470
342,nuuk,64.18,-51.72,-17.0,84,100,8.2,GL,1584253345
343,poole,50.72,-2.0,10.0,87,75,8.2,GB,1584253353
344,eisiskes,54.17,25.0,-2.78,73,0,3.6,LT,1584253471
345,pecos,31.42,-103.49,17.0,67,90,7.7,US,1584253471
346,martaban,16.53,97.61,31.12,51,22,5.67,MM,1584253471
347,somerset west,-34.08,18.82,19.44,72,20,8.2,ZA,1584253445
348,bathsheba,13.22,-59.52,25.0,83,75,6.2,BB,1584253472
349,mount isa,-20.73,139.5,34.0,23,9,5.7,AU,1584253472
350,pemangkat,1.17,108.97,27.74,86,11,5.75,ID,1584253472
351,pacific grove,36.62,-121.92,11.11,90,90,4.1,US,1584253472
352,esperance,-33.87,121.9,29.0,48,97,6.2,AU,1584253473
353,dodoma,-6.17,35.74,21.0,88,20,0.37,TZ,1584253435
354,saldanha,-33.01,17.94,16.0,77,12,6.2,ZA,1584253473
355,volksrust,-27.37,29.88,19.91,63,0,0.56,ZA,1584253473
356,alugan,12.22,125.48,27.85,63,11,5.41,PH,1584253474
357,prince rupert,54.32,-130.32,1.0,40,1,1.5,CA,1584253262
358,oistins,13.07,-59.53,25.0,83,75,6.2,BB,1584253474
359,saint-augustin,51.23,-58.65,-8.65,85,43,6.1,CA,1584253474
360,luis gil perez,17.87,-93.05,22.28,85,21,2.14,MX,1584253474
361,champerico,14.3,-91.92,24.69,79,16,1.51,GT,1584253475
362,znamenskoye,57.13,73.83,1.36,93,100,3.33,RU,1584253475
363,kralendijk,12.15,-68.27,25.0,83,2,2.1,BQ,1584253475
364,omsukchan,62.53,155.8,-16.98,92,100,1.29,RU,1584253475
365,miracema do tocantins,-9.56,-48.4,22.34,95,100,1.46,BR,1584253475
366,cockburn town,21.46,-71.14,24.19,76,1,8.06,TC,1584253343
367,sjenica,43.27,20.0,0.02,94,100,1.87,RS,1584253476
368,sankheda,22.17,73.58,31.58,12,73,7.24,IN,1584253476
369,inhambane,-23.86,35.38,25.0,83,20,2.16,MZ,1584253476
370,abonnema,4.71,6.79,25.0,100,40,1.83,NG,1584253477
371,irbeyskoye,55.64,95.45,3.42,80,80,7.8,RU,1584253477
372,betafo,-19.83,46.85,18.15,81,56,1.38,MG,1584253477
373,kahului,20.89,-156.47,24.0,83,40,6.2,US,1584253413
374,puerto del rosario,28.5,-13.86,17.0,72,12,4.1,ES,1584253477
375,iralaya,15.0,-83.23,26.43,81,0,6.75,HN,1584253478
376,alofi,-19.06,-169.92,27.0,88,100,2.1,NU,1584253478
377,kitgum,3.28,32.89,24.62,65,98,1.71,UG,1584253478
